name,code,province,seat,area_km,population_2016,density
eThekwini Metropolitan Municipality,ETH,KwaZulu-Natal,Durban,2556.000,3702231.000,1448.500
Zululand District Municipality,DC26,KwaZulu-Natal,Ulundi,14799.000,892310.000,60.300
Amajuba District Municipality,DC25,KwaZulu-Natal,Newcastle,7102.000,531327.000,74.800
Harry Gwala District Municipality,DC43,KwaZulu-Natal,Ixopo,10386.000,510865.000,49.200
iLembe District Municipality,DC29,KwaZulu-Natal,KwaDukuza,3269.000,657612.000,201.200
Ugu District Municipality,DC21,KwaZulu-Natal,Port Shepstone,4791.000,753336.000,157.200
uMgungundlovu District Municipality,DC22,KwaZulu-Natal,Pietermaritzburg,9602.000,1095865.000,114.100
King Cetshwayo District Municipality,DC28,KwaZulu-Natal,Richards Bay,8213.000,971135.000,118.200
uMkhanyakude District Municipality,DC27,KwaZulu-Natal,Mkuze,13855.000,689090.000,49.700
uMzinyathi District Municipality,DC24,KwaZulu-Natal,Dundee,8652.000,554882.000,64.100
uThukela District Municipality,DC23,KwaZulu-Natal,Ladysmith,11134.000,706588.000,63.500
